index,can openers
1967-01-01,103
1967-02-01,113
1967-03-01,105
1967-04-01,99
1967-05-01,102
1967-06-01,93
1967-07-01,77
1967-08-01,89
1967-09-01,101
1967-10-01,95
1967-11-01,107
1967-12-01,111
1968-01-01,100
1968-02-01,116
1968-03-01,101
1968-04-01,112
1968-05-01,102
1968-06-01,96
1968-07-01,91
1968-08-01,94
1968-09-01,104
1968-10-01,120
1968-11-01,110
1968-12-01,114
1969-01-01,114
1969-02-01,124
1969-03-01,115
1969-04-01,111
1969-05-01,120
1969-06-01,132
1969-07-01,116
1969-08-01,126
1969-09-01,139
1969-10-01,125
1969-11-01,147
1969-12-01,144
1970-01-01,149
1970-02-01,150
1970-03-01,130
1970-04-01,135
1970-05-01,138
1970-06-01,149
1970-07-01,119
1970-08-01,120
1970-09-01,148
1970-10-01,143
1970-11-01,146
1970-12-01,149
1971-01-01,146
1971-02-01,148
1971-03-01,122
1971-04-01,139
1971-05-01,131
1971-06-01,140
1971-07-01,110
1971-08-01,118
1971-09-01,110
1971-10-01,112
1971-11-01,122
1971-12-01,115
