index,$M/day
1999-07-01,5.81
1999-08-01,5.76
1999-09-01,5.99
1999-10-01,6.12
1999-11-01,6.03
1999-12-01,6.25
2000-01-01,5.8
2000-02-01,5.67
2000-03-01,5.89
2000-04-01,5.91
2000-05-01,5.86
2000-06-01,6.07
2000-07-01,6.27
2000-08-01,6.68
2000-09-01,6.77
2000-10-01,6.71
2000-11-01,6.62
2000-12-01,6.5
2001-01-01,5.89
2001-02-01,6.05
2001-03-01,6.43
2001-04-01,6.47
2001-05-01,6.62
2001-06-01,6.77
2001-07-01,6.7
2001-08-01,6.95
2001-09-01,6.73
2001-10-01,7.07
2001-11-01,7.28
2001-12-01,7.32
2002-01-01,6.76
2002-02-01,6.93
2002-03-01,6.99
2002-04-01,7.16
2002-05-01,7.28
2002-06-01,7.08
2002-07-01,7.34
2002-08-01,7.87
2002-09-01,6.28
2002-10-01,6.3
2002-11-01,6.36
2002-12-01,6.28
2003-01-01,5.89
2003-02-01,6.04
2003-03-01,5.96
2003-04-01,6.1
2003-05-01,6.26
2003-06-01,6.02
2003-07-01,6.25
2003-08-01,6.41
2003-09-01,6.22
2003-10-01,6.57
2003-11-01,6.18
2003-12-01,6.26
2004-01-01,6.1
2004-02-01,6.02
2004-03-01,6.06
2004-04-01,6.35
2004-05-01,6.21
2004-06-01,6.48
2004-07-01,6.74
2004-08-01,6.53
2004-09-01,6.8
2004-10-01,6.75
2004-11-01,6.56
2004-12-01,6.66
2005-01-01,6.18
2005-02-01,6.4
2005-03-01,6.43
2005-04-01,6.54
2005-05-01,6.44
2005-06-01,6.64
2005-07-01,6.82
2005-08-01,6.97
2005-09-01,7.0
2005-10-01,6.91
2005-11-01,6.74
2005-12-01,6.98
2006-01-01,6.37
2006-02-01,6.56
2006-03-01,6.63
2006-04-01,6.87
2006-05-01,6.68
2006-06-01,6.75
2006-07-01,6.84
2006-08-01,7.15
2006-09-01,7.09
2006-10-01,6.97
2006-11-01,7.15
